id_task;nome_task;descrizione_task;priorita_task;data_inizio_prevista;data_fine_prevista;data_scadenza_task;data_inizio_effettiva;data_fine_effettiva;durata_stimata_ore;ore_lavorate;reparto_riferimento;milestone_appartenenza;assegnatario;stato_avanzamento;percentuale_completamento;note_problema
1;Sviluppo Modulo Autenticazione;Implementazione sistema di autenticazione utenti;Alta;01/06/2025;15/06/2025;15/06/2025;01/06/2025;14/06/2025;120;120;Sviluppo Backend;Milestone Iniziale;Mario Rossi;Completato;100;
2;Design UI Dashboard;Progettazione interfaccia utente per dashboard;Media;05/06/2025;20/06/2025;20/06/2025;05/06/2025;19/06/2025;80;80;Design UI/UX;Milestone Iniziale;Laura Bianchi;Completato;100;
3;Configurazione Database;Setup e ottimizzazione del database;Alta;10/06/2025;25/06/2025;25/06/2025;10/06/2025;24/06/2025;100;100;DevOps;Milestone Iniziale;Giuseppe Verdi;Completato;100;
4;Test Unitari Modulo Autenticazione;Scrittura ed esecuzione test unitari;Alta;16/06/2025;30/06/2025;30/06/2025;16/06/2025;02/07/2025;60;65;Quality Assurance;Milestone Iniziale;Anna Neri;In Ritardo;100;Completato in ritardo per bug inaspettati
5;Sviluppo API Utenti;Creazione endpoint API per gestione utenti;Alta;20/06/2025;05/07/2025;05/07/2025;20/06/2025;08/07/2025;160;170;Sviluppo Backend;Milestone Alpha;Mario Rossi;In Ritardo;100;Complessit� maggiore del previsto
6;Integrazione Modulo Pagamenti;Connessione con gateway di pagamento esterno;Alta;01/07/2025;15/07/2025;15/07/2025;01/07/2025;20/07/2025;140;150;Sviluppo Backend;Milestone Alpha;Paolo Gialli;In Ritardo;100;Problemi di compatibilit� con API esterne
7;Revisione Codice Modulo Autenticazione;Revisione del codice per qualit� e sicurezza;Media;03/07/2025;07/07/2025;07/07/2025;03/07/2025;06/07/2025;24;24;Sviluppo Backend;Milestone Iniziale;Sara Bruno;Completato;100;
8;Preparazione Ambiente di Staging;Configurazione server per ambiente di test;Alta;05/07/2025;10/07/2025;10/07/2025;05/07/2025;09/07/2025;40;40;DevOps;Milestone Alpha;Giuseppe Verdi;Completato;100;
9;Test di Integrazione Iniziali;Esecuzione test tra moduli principali;Media;08/07/2025;12/07/2025;12/07/2025;08/07/2025;11/07/2025;32;32;Quality Assurance;Milestone Alpha;Elena Romano;Completato;100;
10;Sviluppo Funzionalit� Ricerca;Implementazione motore di ricerca interno;Alta;10/07/2025;25/07/2025;25/07/2025;10/07/2025;;160;100;Sviluppo Frontend;Milestone Alpha;Marco Conti;In Corso;60;
11;Analisi Requisiti V2;Raccolta e analisi requisiti per la prossima fase;Alta;15/07/2025;22/07/2025;22/07/2025;15/07/2025;;40;20;Business Analysis;Milestone Beta;Giulia Ferrari;In Corso;50;
12;Sviluppo Interfaccia Amministratore;Creazione pannello di controllo per admin;Media;18/07/2025;01/08/2025;01/08/2025;18/07/2025;;80;30;Sviluppo Frontend;Milestone Beta;Laura Bianchi;In Corso;30;
13;Preparazione Documentazione Tecnica;Redazione della documentazione per sviluppatori;Bassa;20/07/2025;05/08/2025;05/08/2025;20/07/2025;;60;10;Sviluppo Backend;Milestone Beta;Mario Rossi;In Corso;15;
14;Test di Carico;Esecuzione test di stress sul sistema;Alta;22/07/2025;26/07/2025;26/07/2025;22/07/2025;;48;20;Quality Assurance;Milestone Alpha;Anna Neri;In Corso;40;
15;Ottimizzazione Performance DB;Miglioramento delle query e indici del database;Alta;24/07/2025;08/08/2025;08/08/2025;24/07/2025;;72;10;DevOps;Milestone Beta;Giuseppe Verdi;In Corso;15;
16;Sviluppo Modulo Notifiche;Implementazione sistema di notifica email/push;Media;25/07/2025;10/08/2025;10/08/2025;25/07/2025;;100;0;Sviluppo Backend;Milestone Beta;Paolo Gialli;Non Iniziato;0;
17;Revisione Design UI Dashboard;Feedback e iterazioni sul design della dashboard;Media;26/07/2025;30/07/2025;30/07/2025;;;24;0;Design UI/UX;Milestone Iniziale;Sara Bruno;Non Iniziato;0;
18;Ricerca Soluzioni Caching;Valutazione di tecnologie per caching;Bassa;27/07/2025;03/08/2025;03/08/2025;;;32;0;DevOps;Milestone Beta;Luca Esposito;Non Iniziato;0;
19;Preparazione Demo Cliente;Allestimento ambiente e dati per demo;Alta;28/07/2025;02/08/2025;02/08/2025;;;40;0;Business Analysis;Milestone Rilascio;Elena Romano;Non Iniziato;0;
20;Sviluppo Reportistica Avanzata;Creazione di report personalizzati per utenti;Alta;29/07/2025;14/08/2025;14/08/2025;;;120;0;Sviluppo Frontend;Milestone Beta;Marco Conti;Non Iniziato;0;
21;Test di Sicurezza;Vulnerability assessment e penetration testing;Alta;30/07/2025;05/08/2025;05/08/2025;;;64;0;Quality Assurance;Milestone Rilascio;Giulia Ferrari;Non Iniziato;0;
22;Formazione Utenti Interni;Sessioni di formazione per il team interno;Bassa;01/08/2025;07/08/2025;07/08/2025;;;40;0;Business Analysis;Milestone Rilascio;Mario Rossi;Non Iniziato;0;
23;Sviluppo Modulo Gestione Ordini;Implementazione logica per ordini;Alta;02/08/2025;18/08/2025;18/08/2025;;;160;0;Sviluppo Backend;Milestone Beta;Paolo Gialli;Non Iniziato;0;
24;Ottimizzazione Immagini UI;Compressione e ottimizzazione asset grafici;Bassa;03/08/2025;09/08/2025;09/08/2025;;;32;0;Design UI/UX;Milestone Beta;Laura Bianchi;Non Iniziato;0;
25;Deploy Ambiente Produzione;Messa in produzione del sistema;Alta;05/08/2025;06/08/2025;06/08/2025;;;16;0;DevOps;Milestone Rilascio;Giuseppe Verdi;Non Iniziato;0;
26;Sviluppo Funzionalit� Chat;Implementazione chat in-app;Media;01/07/2025;15/07/2025;15/07/2025;01/07/2025;14/07/2025;120;120;Sviluppo Frontend;Milestone Alpha;Sara Bruno;Completato;100;
27;Test di Regressione;Esecuzione suite di test completa;Alta;10/07/2025;20/07/2025;20/07/2025;10/07/2025;22/07/2025;80;85;Quality Assurance;Milestone Alpha;Anna Neri;In Ritardo;100;Bug critici trovati in fase finale
28;Analisi Dati Utenti;Estrazione e analisi dati per insight;Bassa;15/07/2025;25/07/2025;25/07/2025;15/07/2025;24/07/2025;60;60;Business Analysis;Milestone Beta;Giulia Ferrari;Completato;100;
29;Sviluppo Modulo Notifiche Push;Implementazione notifiche push;Media;20/07/2025;05/08/2025;05/08/2025;20/07/2025;;100;40;Sviluppo Backend;Milestone Beta;Luca Esposito;In Corso;40;
30;Ottimizzazione Codice Frontend;Refactoring e pulizia codice frontend;Bassa;22/07/2025;06/08/2025;06/08/2025;22/07/2025;;80;20;Sviluppo Frontend;Milestone Beta;Marco Conti;In Corso;25;
31;Preparazione Materiale Marketing;Creazione asset per lancio prodotto;Media;25/07/2025;09/08/2025;09/08/2025;25/07/2025;;60;10;Business Analysis;Milestone Rilascio;Elena Romano;In Corso;15;
32;Sviluppo Funzionalit� Dashboard;Implementazione widget e grafici dashboard;Alta;26/07/2025;10/08/2025;10/08/2025;26/07/2025;;120;0;Sviluppo Frontend;Milestone Beta;Laura Bianchi;Non Iniziato;0;
33;Integrazione Servizi Terzi;Connessione con servizi esterni (es. CRM);Alta;28/07/2025;12/08/2025;12/08/2025;28/07/2025;;140;0;Sviluppo Backend;Milestone Beta;Mario Rossi;Non Iniziato;0;
34;Test di Usabilit�;Sessioni di test con utenti reali;Media;30/07/2025;05/08/2025;05/08/2025;;;40;0;Quality Assurance;Milestone Rilascio;Anna Neri;Non Iniziato;0;
35;Monitoraggio Infrastruttura;Setup strumenti di monitoraggio server;Alta;01/08/2025;07/08/2025;07/08/2025;;;56;0;DevOps;Milestone Rilascio;Giuseppe Verdi;Non Iniziato;0;
36;Sviluppo Modulo Reportistica;Creazione modulo per reportistica base;Media;02/08/2025;16/08/2025;16/08/2025;;;100;0;Sviluppo Backend;Milestone Beta;Paolo Gialli;Non Iniziato;0;
37;Revisione Contenuti Testuali;Controllo e ottimizzazione testi UI;Bassa;04/08/2025;08/08/2025;08/08/2025;;;24;0;Design UI/UX;Milestone Beta;Sara Bruno;Non Iniziato;0;
38;Preparazione Training Material;Sviluppo materiale per formazione utenti;Bassa;06/08/2025;12/08/2025;12/08/2025;;;40;0;Business Analysis;Milestone Rilascio;Giulia Ferrari;Non Iniziato;0;
39;Sviluppo Funzionalit� Notifiche Email;Implementazione invio email automatiche;Media;08/08/2025;20/08/2025;20/08/2025;;;80;0;Sviluppo Backend;Milestone Beta;Luca Esposito;Non Iniziato;0;
40;Test di Performance;Esecuzione test di carico e stress;Alta;10/08/2025;15/08/2025;15/08/2025;;;48;0;Quality Assurance;Milestone Rilascio;Elena Romano;Non Iniziato;0;
41;Sviluppo Modulo Gestione Ruoli;Implementazione gestione ruoli utente;Alta;01/06/2025;10/06/2025;10/06/2025;01/06/2025;10/06/2025;80;80;Sviluppo Backend;Milestone Iniziale;Mario Rossi;Completato;100;
42;Design Mockup Pagine;Creazione mockup per nuove pagine;Media;05/06/2025;15/06/2025;15/06/2025;05/06/2025;14/06/2025;60;60;Design UI/UX;Milestone Iniziale;Laura Bianchi;Completato;100;
43;Setup Ambiente Sviluppo;Configurazione ambienti di sviluppo;Bassa;08/06/2025;12/06/2025;12/06/2025;08/06/2025;11/06/2025;24;24;DevOps;Milestone Iniziale;Giuseppe Verdi;Completato;100;
44;Test di Accettazione Utente (UAT) - Fase 1;Esecuzione UAT con utenti chiave;Alta;15/06/2025;25/06/2025;25/06/2025;15/06/2025;28/06/2025;72;75;Quality Assurance;Milestone Iniziale;Anna Neri;In Ritardo;100;Feedback utente ha richiesto modifiche
45;Sviluppo Funzionalit� Carrello;Implementazione logica carrello acquisti;Alta;20/06/2025;05/07/2025;05/07/2025;20/06/2025;07/07/2025;160;165;Sviluppo Frontend;Milestone Alpha;Paolo Gialli;In Ritardo;100;Integrazione con backend pi� complessa
46;Refactoring Modulo Autenticazione;Miglioramento architettura modulo autenticazione;Media;01/07/2025;10/07/2025;10/07/2025;01/07/2025;09/07/2025;80;80;Sviluppo Backend;Milestone Iniziale;Mario Rossi;Completato;100;
47;Preparazione Ambiente di Produzione;Configurazione server per produzione;Alta;05/07/2025;10/07/2025;10/07/2025;05/07/2025;09/07/2025;40;40;DevOps;Milestone Rilascio;Giuseppe Verdi;Completato;100;
48;Test di Sicurezza Iniziali;Scansione vulnerabilit� iniziali;Alta;08/07/2025;12/07/2025;12/07/2025;08/07/2025;11/07/2025;32;32;Quality Assurance;Milestone Alpha;Elena Romano;Completato;100;
49;Sviluppo Funzionalit� Pagamento;Implementazione processo di checkout;Alta;10/07/2025;25/07/2025;25/07/2025;10/07/2025;;160;100;Sviluppo Frontend;Milestone Alpha;Marco Conti;In Corso;60;
50;Analisi Feedback Utenti;Raccolta e analisi feedback da UAT;Media;15/07/2025;22/07/2025;22/07/2025;22/07/2025;15/07/2025;40;20;Business Analysis;Milestone Beta;Giulia Ferrari;In Corso;50;
51;Sviluppo Modulo Gestione Prodotti;Creazione interfaccia per gestione prodotti;Media;18/07/2025;01/08/2025;01/08/2025;18/07/2025;;80;30;Sviluppo Frontend;Milestone Beta;Laura Bianchi;In Corso;30;
52;Preparazione Documentazione Utente;Redazione manuale utente;Bassa;20/07/2025;05/08/2025;05/08/2025;20/07/2025;;60;10;Business Analysis;Milestone Beta;Mario Rossi;In Corso;15;
53;Test di Stress Database;Esecuzione test di carico sul DB;Alta;22/07/2025;26/07/2025;26/07/2025;26/07/2025;22/07/2025;48;20;DevOps;Milestone Alpha;Giuseppe Verdi;In Corso;40;
54;Ottimizzazione Query API;Miglioramento performance chiamate API;Alta;24/07/2025;08/08/2025;08/08/2025;24/07/2025;;72;10;Sviluppo Backend;Milestone Beta;Paolo Gialli;In Corso;15;
55;Sviluppo Modulo Statistiche;Implementazione dashboard statistiche;Media;25/07/2025;10/08/2025;10/08/2025;25/07/2025;;100;0;Sviluppo Backend;Milestone Beta;Sara Bruno;Non Iniziato;0;
56;Revisione Design Pagine;Feedback e iterazioni sul design delle pagine;Media;26/07/2025;30/07/2025;30/07/2025;;;24;0;Design UI/UX;Milestone Iniziale;Laura Bianchi;Non Iniziato;0;
57;Ricerca Soluzioni Logging;Valutazione di tecnologie per logging;Bassa;27/07/2025;03/08/2025;03/08/2025;;;32;0;DevOps;Milestone Beta;Luca Esposito;Non Iniziato;0;
58;Preparazione Presentazione Cliente;Allestimento slide per presentazione;Alta;28/07/2025;02/08/2025;02/08/2025;;;40;0;Business Analysis;Milestone Rilascio;Elena Romano;Non Iniziato;0;
59;Sviluppo Funzionalit� Filtri;Implementazione filtri avanzati per dati;Alta;29/07/2025;14/08/2025;14/08/2025;;;120;0;Sviluppo Frontend;Milestone Beta;Marco Conti;Non Iniziato;0;
60;Test di Compatibilit� Browser;Verifica compatibilit� su diversi browser;Alta;30/07/2025;05/08/2025;05/08/2025;;;64;0;Quality Assurance;Milestone Rilascio;Anna Neri;Non Iniziato;0;
61;Formazione Team Vendite;Sessioni di formazione per il team commerciale;Bassa;01/08/2025;07/08/2025;07/08/2025;;;40;0;Business Analysis;Milestone Rilascio;Giulia Ferrari;Non Iniziato;0;
62;Sviluppo Modulo Gestione Utenti;Implementazione CRUD utenti;Alta;01/06/2025;15/06/2025;15/06/2025;01/06/2025;14/06/2025;120;120;Sviluppo Backend;Milestone Iniziale;Mario Rossi;Completato;100;
63;Design Icone Applicazione;Creazione set di icone personalizzate;Media;05/06/2025;20/06/2025;20/06/2025;05/06/2025;19/06/2025;80;80;Design UI/UX;Milestone Iniziale;Laura Bianchi;Completato;100;
64;Setup Ambiente di Test;Configurazione server per test automatici;Alta;10/06/2025;25/06/2025;25/06/2025;10/06/2025;24/06/2025;100;100;DevOps;Milestone Iniziale;Giuseppe Verdi;Completato;100;
65;Test di Funzionalit� Modulo Utenti;Scrittura ed esecuzione test funzionali;Alta;16/06/2025;30/06/2025;30/06/2025;16/06/2025;02/07/2025;60;65;Quality Assurance;Milestone Iniziale;Anna Neri;In Ritardo;100;Dipendenza da modulo autenticazione in ritardo
66;Sviluppo API Prodotti;Creazione endpoint API per gestione prodotti;Alta;20/06/2025;05/07/2025;05/07/2025;20/06/2025;08/07/2025;160;170;Sviluppo Backend;Milestone Alpha;Paolo Gialli;In Ritardo;100;Requisiti aggiuntivi in corso d'opera
67;Revisione Codice API Utenti;Revisione del codice per qualit� e sicurezza;Media;03/07/2025;07/07/2025;07/07/2025;03/07/2025;06/07/2025;24;24;Sviluppo Backend;Milestone Alpha;Sara Bruno;Completato;100;
68;Preparazione Ambiente di Pre-produzione;Configurazione server per pre-produzione;Alta;05/07/2025;10/07/2025;10/07/2025;05/07/2025;09/07/2025;40;40;DevOps;Milestone Alpha;Giuseppe Verdi;Completato;100;
69;Test di Integrazione API;Esecuzione test tra API frontend e backend;Media;08/07/2025;12/07/2025;12/07/2025;08/07/2025;11/07/2025;32;32;Quality Assurance;Milestone Alpha;Elena Romano;Completato;100;
70;Sviluppo Funzionalit� Ordini;Implementazione logica per ordini cliente;Alta;10/07/2025;25/07/2025;25/07/2025;10/07/2025;;160;100;Sviluppo Frontend;Milestone Alpha;Marco Conti;In Corso;60;
71;Analisi Requisiti Integrazione;Raccolta requisiti per integrazioni future;Alta;15/07/2025;22/07/2025;22/07/2025;22/07/2025;15/07/2025;40;20;Business Analysis;Milestone Beta;Giulia Ferrari;In Corso;50;
72;Sviluppo Interfaccia Utente Mobile;Creazione UI per app mobile;Media;18/07/2025;01/08/2025;01/08/2025;18/07/2025;;80;30;Sviluppo Frontend;Milestone Beta;Laura Bianchi;In Corso;30;
73;Preparazione Documentazione API;Redazione documentazione per API;Bassa;20/07/2025;05/08/2025;05/08/2025;20/07/2025;;60;10;Sviluppo Backend;Milestone Beta;Mario Rossi;In Corso;15;
74;Test di Usabilit� Mobile;Esecuzione test di usabilit� su dispositivi mobili;Alta;22/07/2025;26/07/2025;26/07/2025;26/07/2025;22/07/2025;48;20;Quality Assurance;Milestone Alpha;Anna Neri;In Corso;40;
75;Ottimizzazione Performance Frontend;Miglioramento velocit� caricamento pagine;Alta;24/07/2025;08/08/2025;08/08/2025;08/08/2025;24/07/2025;72;10;Sviluppo Frontend;Milestone Beta;Paolo Gialli;In Corso;15;
76;Sviluppo Modulo Gestione Contenuti;Implementazione CMS interno;Media;25/07/2025;10/08/2025;10/08/2025;25/07/2025;;100;0;Sviluppo Backend;Milestone Beta;Sara Bruno;Non Iniziato;0;
77;Revisione Design Mobile;Feedback e iterazioni sul design mobile;Media;26/07/2025;30/07/2025;30/07/2025;;;24;0;Design UI/UX;Milestone Iniziale;Laura Bianchi;Non Iniziato;0;
78;Ricerca Soluzioni CI/CD;Valutazione di strumenti per Continuous Integration/Delivery;Bassa;27/07/2025;03/08/2025;03/08/2025;;;32;0;DevOps;Milestone Beta;Luca Esposito;Non Iniziato;0;
79;Preparazione Materiale Formazione Esterna;Sviluppo materiale per clienti;Alta;28/07/2025;02/08/2025;02/08/2025;;;40;0;Business Analysis;Milestone Rilascio;Elena Romano;Non Iniziato;0;
80;Sviluppo Funzionalit� Notifiche SMS;Implementazione invio SMS automatici;Media;29/07/2025;14/08/2025;14/08/2025;;;120;0;Sviluppo Backend;Milestone Beta;Marco Conti;Non Iniziato;0;
81;Test di Sicurezza API;Vulnerability assessment su API;Alta;30/07/2025;05/08/2025;05/08/2025;;;64;0;Quality Assurance;Milestone Rilascio;Giulia Ferrari;Non Iniziato;0;
82;Formazione Utenti Esterni;Sessioni di formazione per clienti;Bassa;01/08/2025;07/08/2025;07/08/2025;;;40;0;Business Analysis;Milestone Rilascio;Mario Rossi;Non Iniziato;0;
83;Sviluppo Modulo Gestione Fatture;Implementazione logica per fatturazione;Alta;02/08/2025;18/08/2025;18/08/2025;;;160;0;Sviluppo Backend;Milestone Beta;Paolo Gialli;Non Iniziato;0;
84;Ottimizzazione Caricamento Immagini;Miglioramento performance caricamento immagini;Bassa;03/08/2025;09/08/2025;09/08/2025;;;32;0;Design UI/UX;Milestone Beta;Laura Bianchi;Non Iniziato;0;
85;Deploy Ambiente di Disaster Recovery;Messa in produzione ambiente DR;Alta;05/08/2025;06/08/2025;06/08/2025;;;16;0;DevOps;Milestone Rilascio;Giuseppe Verdi;Non Iniziato;0;
86;Sviluppo Funzionalit� Integrazione CRM;Connessione con CRM esterno;Media;01/07/2025;15/07/2025;15/07/2025;01/07/2025;14/07/2025;120;120;Sviluppo Backend;Milestone Alpha;Sara Bruno;Completato;100;
87;Test di Stress API;Esecuzione test di carico su API;Alta;10/07/2025;20/07/2025;20/07/2025;10/07/2025;22/07/2025;80;85;Quality Assurance;Milestone Alpha;Anna Neri;In Ritardo;100;Problemi di scalabilit� riscontrati
88;Analisi Dati di Vendita;Estrazione e analisi dati per report vendite;Bassa;15/07/2025;25/07/2025;25/07/2025;15/07/2025;24/07/2025;60;60;Business Analysis;Milestone Beta;Giulia Ferrari;Completato;100;
89;Sviluppo Modulo Gestione Pagamenti;Implementazione logica pagamenti;Media;20/07/2025;05/08/2025;05/08/2025;20/07/2025;;100;40;Sviluppo Backend;Milestone Beta;Luca Esposito;In Corso;40;
90;Ottimizzazione Codice Backend;Refactoring e pulizia codice backend;Bassa;22/07/2025;06/08/2025;06/08/2025;22/07/2025;;80;20;Sviluppo Backend;Milestone Beta;Marco Conti;In Corso;25;
91;Preparazione Materiale Presentazione;Creazione slide per stakeholder;Media;25/07/2025;09/08/2025;09/08/2025;25/07/2025;;60;10;Business Analysis;Milestone Rilascio;Elena Romano;In Corso;15;
92;Sviluppo Funzionalit� Notifiche Email;Implementazione invio email automatiche;Alta;26/07/2025;10/08/2025;10/08/2025;26/07/2025;;120;0;Sviluppo Backend;Milestone Beta;Laura Bianchi;Non Iniziato;0;
93;Integrazione Servizi di Terze Parti;Connessione con servizi esterni (es. analytics);Alta;28/07/2025;12/08/2025;12/08/2025;28/07/2025;;140;0;Sviluppo Backend;Milestone Beta;Mario Rossi;Non Iniziato;0;
94;Test di Sicurezza Applicazione;Vulnerability assessment su applicazione;Media;30/07/2025;05/08/2025;05/08/2025;;;40;0;Quality Assurance;Milestone Rilascio;Anna Neri;Non Iniziato;0;
95;Monitoraggio Performance Applicazione;Setup strumenti di monitoraggio performance;Alta;01/08/2025;07/08/2025;07/08/2025;;;56;0;DevOps;Milestone Rilascio;Giuseppe Verdi;Non Iniziato;0;
96;Sviluppo Modulo Gestione Log;Creazione modulo per gestione log;Media;02/08/2025;16/08/2025;16/08/2025;;;100;0;Sviluppo Backend;Milestone Beta;Paolo Gialli;Non Iniziato;0;
97;Revisione Contenuti Marketing;Controllo e ottimizzazione testi marketing;Bassa;04/08/2025;08/08/2025;08/08/2025;;;24;0;Design UI/UX;Milestone Beta;Sara Bruno;Non Iniziato;0;
98;Preparazione Materiale Onboarding;Sviluppo materiale per onboarding nuovi utenti;Bassa;06/08/2025;12/08/2025;12/08/2025;;;40;0;Business Analysis;Milestone Rilascio;Giulia Ferrari;Non Iniziato;0;
99;Sviluppo Funzionalit� Notifiche In-App;Implementazione notifiche interne;Media;08/08/2025;20/08/2025;20/08/2025;;;80;0;Sviluppo Frontend;Milestone Beta;Luca Esposito;Non Iniziato;0;
100;Test di Resilienza;Esecuzione test di failover e recovery;Alta;10/08/2025;15/08/2025;15/08/2025;;;48;0;DevOps;Milestone Rilascio;Elena Romano;Non Iniziato;0;
