id_task;nome_task;descrizione_task;priorita_task;data_inizio_prevista;data_fine_prevista;data_scadenza_task;data_inizio_effettiva;data_fine_effettiva;durata_stimata_ore;ore_lavorate;reparto_riferimento;milestone_appartenenza;assegnatario;stato_avanzamento;percentuale_completamento;note_problema
101;Sviluppo Modulo Gestione Permessi;Implementazione sistema di permessi;Alta;01/06/2025;10/06/2025;10/06/2025;01/06/2025;10/06/2025;80;80;Sviluppo Backend;Milestone Iniziale;Mario Rossi;Completato;100;
102;Design Wireframe Nuove Funzionalit�;Creazione wireframe per nuove sezioni;Media;05/06/2025;15/06/2025;15/06/2025;05/06/2025;14/06/2025;60;60;Design UI/UX;Milestone Iniziale;Laura Bianchi;Completato;100;
103;Setup Ambiente di Sviluppo Locale;Configurazione ambienti di sviluppo locali;Bassa;08/06/2025;12/06/2025;12/06/2025;08/06/2025;11/06/2025;24;24;DevOps;Milestone Iniziale;Giuseppe Verdi;Completato;100;
104;Test di Accettazione Utente (UAT) - Fase 2;Esecuzione UAT con utenti finali;Alta;15/06/2025;25/06/2025;25/06/2025;15/06/2025;28/06/2025;72;75;Quality Assurance;Milestone Iniziale;Anna Neri;In Ritardo;100;Bug critici scoperti in fase avanzata
105;Sviluppo Funzionalit� Preferiti;Implementazione logica per preferiti;Alta;20/06/2025;05/07/2025;05/07/2025;20/06/2025;07/07/2025;160;165;Sviluppo Frontend;Milestone Alpha;Paolo Gialli;In Ritardo;100;Modifiche ai requisiti in corso d'opera
106;Refactoring Modulo Pagamenti;Miglioramento architettura modulo pagamenti;Media;01/07/2025;10/07/2025;10/07/2025;01/07/2025;09/07/2025;80;80;Sviluppo Backend;Milestone Alpha;Mario Rossi;Completato;100;
107;Preparazione Ambiente di Disaster Recovery;Configurazione server per DR;Alta;05/07/2025;10/07/2025;10/07/2025;05/07/2025;09/07/2025;40;40;DevOps;Milestone Rilascio;Giuseppe Verdi;Completato;100;
108;Test di Performance Iniziali;Scansione performance iniziali;Alta;08/07/2025;12/07/2025;12/07/2025;12/07/2025;08/07/2025;32;32;Quality Assurance;Milestone Alpha;Elena Romano;Completato;100;
109;Sviluppo Funzionalit� Recensioni;Implementazione sistema di recensioni;Alta;10/07/2025;25/07/2025;25/07/2025;25/07/2025;10/07/2025;160;100;Sviluppo Frontend;Milestone Alpha;Marco Conti;In Corso;60;
110;Analisi Dati di Utilizzo;Raccolta e analisi dati di utilizzo;Media;15/07/2025;22/07/2025;22/07/2025;22/07/2025;15/07/2025;40;20;Business Analysis;Milestone Beta;Giulia Ferrari;In Corso;50;
111;Sviluppo Interfaccia Utente Desktop;Creazione UI per app desktop;Media;18/07/2025;01/08/2025;01/08/2025;01/08/2025;18/07/2025;80;30;Sviluppo Frontend;Milestone Beta;Laura Bianchi;In Corso;30;
112;Preparazione Documentazione API Esterna;Redazione documentazione per API esterne;Bassa;20/07/2025;05/08/2025;05/08/2025;20/07/2025;;60;10;Sviluppo Backend;Milestone Beta;Mario Rossi;In Corso;15;
113;Test di Sicurezza Rete;Esecuzione test di sicurezza sulla rete;Alta;22/07/2025;26/07/2025;26/07/2025;26/07/2025;22/07/2025;48;20;DevOps;Milestone Alpha;Giuseppe Verdi;In Corso;40;
114;Ottimizzazione Codice Frontend;Miglioramento velocit� caricamento pagine;Alta;24/07/2025;08/08/2025;08/08/2025;08/08/2025;24/07/2025;72;10;Sviluppo Frontend;Milestone Beta;Paolo Gialli;In Corso;15;
115;Sviluppo Modulo Gestione Utenti;Implementazione CRUD utenti;Media;25/07/2025;10/08/2025;10/08/2025;25/07/2025;;100;0;Sviluppo Backend;Milestone Beta;Sara Bruno;Non Iniziato;0;
116;Revisione Design Desktop;Feedback e iterazioni sul design desktop;Media;26/07/2025;30/07/2025;30/07/2025;;;24;0;Design UI/UX;Milestone Iniziale;Laura Bianchi;Non Iniziato;0;
117;Ricerca Soluzioni Monitoraggio;Valutazione di strumenti per monitoraggio;Bassa;27/07/2025;03/08/2025;03/08/2025;;;32;0;DevOps;Milestone Beta;Luca Esposito;Non Iniziato;0;
118;Preparazione Materiale Comunicazione;Sviluppo materiale per comunicazione interna;Alta;28/07/2025;02/08/2025;02/08/2025;;;40;0;Business Analysis;Milestone Rilascio;Elena Romano;Non Iniziato;0;
119;Sviluppo Funzionalit� Notifiche Push;Implementazione notifiche push;Media;29/07/2025;14/08/2025;14/08/2025;;;120;0;Sviluppo Backend;Milestone Beta;Marco Conti;Non Iniziato;0;
120;Test di Carico API;Esecuzione test di carico su API;Alta;30/07/2025;05/08/2025;05/08/2025;;;64;0;Quality Assurance;Milestone Rilascio;Anna Neri;Non Iniziato;0;
121;Formazione Team Supporto;Sessioni di formazione per il team di supporto;Bassa;01/08/2025;07/08/2025;07/08/2025;;;40;0;Business Analysis;Milestone Rilascio;Giulia Ferrari;Non Iniziato;0;
122;Sviluppo Modulo Gestione Ordini;Implementazione logica per ordini;Alta;01/06/2025;15/06/2025;15/06/2025;15/06/2025;14/06/2025;120;120;Sviluppo Backend;Milestone Iniziale;Paolo Gialli;Completato;100;
123;Design UI Pagine;Progettazione interfaccia utente per nuove pagine;Media;05/06/2025;20/06/2025;20/06/2025;19/06/2025;19/06/2025;80;80;Design UI/UX;Milestone Iniziale;Sara Bruno;Completato;100;
124;Configurazione Server di Produzione;Setup e ottimizzazione server di produzione;Alta;10/06/2025;25/06/2025;25/06/2025;24/06/2025;24/06/2025;100;100;DevOps;Milestone Iniziale;Luca Esposito;Completato;100;
125;Test di Regressione Completa;Esecuzione suite di test completa;Alta;16/06/2025;30/06/2025;30/06/2025;16/06/2025;02/07/2025;60;65;Quality Assurance;Milestone Iniziale;Elena Romano;In Ritardo;100;Bug inaspettati in fase di regressione
126;Sviluppo API Reportistica;Creazione endpoint API per report;Alta;20/06/2025;05/07/2025;05/07/2025;20/06/2025;08/07/2025;160;170;Sviluppo Backend;Milestone Alpha;Marco Conti;In Ritardo;100;Complessit� integrazione dati
127;Revisione Codice Modulo Pagamenti;Revisione del codice per qualit� e sicurezza;Media;03/07/2025;07/07/2025;07/07/2025;07/07/2025;06/07/2025;24;24;Sviluppo Backend;Milestone Alpha;Giulia Ferrari;Completato;100;
128;Preparazione Ambiente di Test di Carico;Configurazione server per test di carico;Alta;05/07/2025;10/07/2025;10/07/2025;05/07/2025;09/07/2025;40;40;DevOps;Milestone Alpha;Mario Rossi;Completato;100;
129;Test di Integrazione Completa;Esecuzione test tra tutti i moduli;Media;08/07/2025;12/07/2025;12/07/2025;08/07/2025;11/07/2025;32;32;Quality Assurance;Milestone Alpha;Laura Bianchi;Completato;100;
130;Sviluppo Funzionalit� Notifiche;Implementazione sistema di notifica;Alta;10/07/2025;25/07/2025;25/07/2025;10/07/2025;;160;100;Sviluppo Frontend;Milestone Alpha;Giuseppe Verdi;In Corso;60;
131;Analisi Requisiti Sicurezza;Raccolta e analisi requisiti di sicurezza;Alta;15/07/2025;22/07/2025;22/07/2025;22/07/2025;15/07/2025;40;20;Business Analysis;Milestone Beta;Anna Neri;In Corso;50;
132;Sviluppo Interfaccia Utente Admin;Creazione UI per pannello admin;Media;18/07/2025;01/08/2025;01/08/2025;18/07/2025;;80;30;Sviluppo Frontend;Milestone Beta;Paolo Gialli;In Corso;30;
133;Preparazione Documentazione Utente Finale;Redazione manuale utente finale;Bassa;20/07/2025;05/08/2025;05/08/2025;20/07/2025;;60;10;Business Analysis;Milestone Beta;Sara Bruno;In Corso;15;
134;Test di Penetration Testing;Esecuzione penetration test;Alta;22/07/2025;26/07/2025;26/07/2025;26/07/2025;22/07/2025;48;20;Quality Assurance;Milestone Alpha;Luca Esposito;In Corso;40;
135;Ottimizzazione Performance Server;Miglioramento performance server;Alta;24/07/2025;08/08/2025;08/08/2025;08/08/2025;24/07/2025;72;10;DevOps;Milestone Beta;Elena Romano;In Corso;15;
136;Sviluppo Modulo Gestione Log;Implementazione sistema di log;Media;25/07/2025;10/08/2025;10/08/2025;25/07/2025;;100;0;Sviluppo Backend;Milestone Beta;Marco Conti;Non Iniziato;0;
137;Revisione Design Pagine Utente;Feedback e iterazioni sul design delle pagine utente;Media;26/07/2025;30/07/2025;30/07/2025;;;24;0;Design UI/UX;Milestone Iniziale;Giulia Ferrari;Non Iniziato;0;
138;Ricerca Soluzioni Backup;Valutazione di tecnologie per backup;Bassa;27/07/2025;03/08/2025;03/08/2025;;;32;0;DevOps;Milestone Beta;Mario Rossi;Non Iniziato;0;
139;Preparazione Materiale Comunicazione Esterna;Sviluppo materiale per comunicazione esterna;Alta;28/07/2025;02/08/2025;02/08/2025;;;40;0;Business Analysis;Milestone Rilascio;Laura Bianchi;Non Iniziato;0;
140;Sviluppo Funzionalit� Integrazione API;Implementazione integrazione con API esterne;Media;29/07/2025;14/08/2025;14/08/2025;;;120;0;Sviluppo Backend;Milestone Beta;Giuseppe Verdi;Non Iniziato;0;
141;Test di Sicurezza Dati;Vulnerability assessment su dati;Alta;30/07/2025;05/08/2025;05/08/2025;;;64;0;Quality Assurance;Milestone Rilascio;Anna Neri;Non Iniziato;0;
142;Formazione Team Vendite;Sessioni di formazione per il team commerciale;Bassa;01/08/2025;07/08/2025;07/08/2025;;;40;0;Business Analysis;Milestone Rilascio;Paolo Gialli;Non Iniziato;0;
143;Sviluppo Modulo Gestione Clienti;Implementazione logica per clienti;Alta;02/08/2025;18/08/2025;18/08/2025;;;160;0;Sviluppo Backend;Milestone Beta;Sara Bruno;Non Iniziato;0;
144;Ottimizzazione Caricamento Pagine;Miglioramento performance caricamento pagine;Bassa;03/08/2025;09/08/2025;09/08/2025;;;32;0;Design UI/UX;Milestone Beta;Luca Esposito;Non Iniziato;0;
145;Deploy Ambiente di Test;Messa in produzione ambiente di test;Alta;05/08/2025;06/08/2025;06/08/2025;;;16;0;DevOps;Milestone Rilascio;Elena Romano;Non Iniziato;0;
146;Sviluppo Funzionalit� Integrazione ERP;Connessione con ERP esterno;Media;01/07/2025;15/07/2025;15/07/2025;01/07/2025;14/07/2025;120;120;Sviluppo Backend;Milestone Alpha;Marco Conti;Completato;100;
147;Test di Stress Frontend;Esecuzione test di carico su frontend;Alta;10/07/2025;20/07/2025;20/07/2025;10/07/2025;22/07/2025;80;85;Quality Assurance;Milestone Alpha;Giulia Ferrari;In Ritardo;100;Problemi di rendering su browser specifici
148;Analisi Dati di Marketing;Estrazione e analisi dati per campagne marketing;Bassa;15/07/2025;25/07/2025;25/07/2025;25/07/2025;24/07/2025;60;60;Business Analysis;Milestone Beta;Mario Rossi;Completato;100;
149;Sviluppo Modulo Gestione Documenti;Implementazione logica gestione documenti;Media;20/07/2025;05/08/2025;05/08/2025;20/07/2025;;100;40;Sviluppo Backend;Milestone Beta;Laura Bianchi;In Corso;40;
150;Ottimizzazione Codice Database;Refactoring e pulizia codice database;Bassa;22/07/2025;06/08/2025;06/08/2025;22/07/2025;;80;20;DevOps;Milestone Beta;Giuseppe Verdi;In Corso;25;
151;Preparazione Materiale Comunicazione Interna;Creazione slide per team interno;Media;25/07/2025;09/08/2025;09/08/2025;25/07/2025;;60;10;Business Analysis;Milestone Rilascio;Anna Neri;In Corso;15;
152;Sviluppo Funzionalit� Notifiche SMS;Implementazione invio SMS automatici;Alta;26/07/2025;10/08/2025;10/08/2025;26/07/2025;;120;0;Sviluppo Backend;Milestone Beta;Paolo Gialli;Non Iniziato;0;
153;Integrazione Servizi di Pagamento;Connessione con gateway di pagamento;Alta;28/07/2025;12/08/2025;12/08/2025;28/07/2025;;140;0;Sviluppo Backend;Milestone Beta;Sara Bruno;Non Iniziato;0;
154;Test di Sicurezza Backend;Vulnerability assessment su backend;Media;30/07/2025;05/08/2025;05/08/2025;;;40;0;Quality Assurance;Milestone Rilascio;Luca Esposito;Non Iniziato;0;
155;Monitoraggio Log Applicazione;Setup strumenti di monitoraggio log;Alta;01/08/2025;07/08/2025;07/08/2025;;;56;0;DevOps;Milestone Rilascio;Elena Romano;Non Iniziato;0;
156;Sviluppo Modulo Gestione Report;Creazione modulo per gestione report;Media;02/08/2025;16/08/2025;16/08/2025;;;100;0;Sviluppo Backend;Milestone Beta;Marco Conti;Non Iniziato;0;
157;Revisione Contenuti Sito Web;Controllo e ottimizzazione testi sito web;Bassa;04/08/2025;08/08/2025;08/08/2025;;;24;0;Design UI/UX;Milestone Beta;Giulia Ferrari;Non Iniziato;0;
158;Preparazione Materiale Supporto;Sviluppo materiale per supporto clienti;Bassa;06/08/2025;12/08/2025;12/08/2025;;;40;0;Business Analysis;Milestone Rilascio;Mario Rossi;Non Iniziato;0;
159;Sviluppo Funzionalit� Integrazione CRM;Implementazione integrazione con CRM;Media;08/08/2025;20/08/2025;20/08/2025;;;80;0;Sviluppo Backend;Milestone Beta;Laura Bianchi;Non Iniziato;0;
160;Test di Resilienza Database;Esecuzione test di failover e recovery DB;Alta;10/08/2025;15/08/2025;15/08/2025;;;48;0;DevOps;Milestone Rilascio;Giuseppe Verdi;Non Iniziato;0;
161;Sviluppo Modulo Gestione Notifiche;Implementazione sistema di notifica;Alta;01/06/2025;10/06/2025;10/06/2025;10/06/2025;10/06/2025;80;80;Sviluppo Backend;Milestone Iniziale;Anna Neri;Completato;100;
162;Design Prototipo Interattivo;Creazione prototipo interattivo per UI;Media;05/06/2025;15/06/2025;15/06/2025;05/06/2025;14/06/2025;60;60;Design UI/UX;Milestone Iniziale;Paolo Gialli;Completato;100;
163;Setup Ambiente di Staging;Configurazione ambienti di staging;Bassa;08/06/2025;12/06/2025;12/06/2025;08/06/2025;11/06/2025;24;24;DevOps;Milestone Iniziale;Sara Bruno;Completato;100;
164;Test di Accettazione Utente (UAT) - Fase 3;Esecuzione UAT finale con utenti;Alta;15/06/2025;25/06/2025;25/06/2025;15/06/2025;28/06/2025;72;75;Quality Assurance;Milestone Iniziale;Luca Esposito;In Ritardo;100;Problemi di performance riscontrati
165;Sviluppo Funzionalit� Ricerca Avanzata;Implementazione motore di ricerca avanzato;Alta;20/06/2025;05/07/2025;05/07/2025;20/06/2025;07/07/2025;160;165;Sviluppo Frontend;Milestone Alpha;Elena Romano;In Ritardo;100;Integrazione con sistema di terze parti
166;Refactoring Modulo Notifiche;Miglioramento architettura modulo notifiche;Media;01/07/2025;10/07/2025;10/07/2025;10/07/2025;09/07/2025;80;80;Sviluppo Backend;Milestone Alpha;Marco Conti;Completato;100;
167;Preparazione Ambiente di Produzione;Configurazione server per produzione;Alta;05/07/2025;10/07/2025;10/07/2025;05/07/2025;09/07/2025;40;40;DevOps;Milestone Rilascio;Giulia Ferrari;Completato;100;
168;Test di Sicurezza Applicazione;Scansione vulnerabilit� applicazione;Alta;08/07/2025;12/07/2025;12/07/2025;12/07/2025;11/07/2025;32;32;Quality Assurance;Milestone Alpha;Mario Rossi;Completato;100;
169;Sviluppo Funzionalit� Dashboard Personalizzabile;Implementazione dashboard personalizzabile;Alta;10/07/2025;25/07/2025;25/07/2025;10/07/2025;;160;100;Sviluppo Frontend;Milestone Alpha;Laura Bianchi;In Corso;60;
170;Analisi Requisiti Integrazione Dati;Raccolta e analisi requisiti per integrazione dati;Media;15/07/2025;22/07/2025;22/07/2025;22/07/2025;15/07/2025;40;20;Business Analysis;Milestone Beta;Giuseppe Verdi;In Corso;50;
171;Sviluppo Interfaccia Utente Mobile;Creazione UI per app mobile;Media;18/07/2025;01/08/2025;01/08/2025;01/08/2025;18/07/2025;80;30;Sviluppo Frontend;Milestone Beta;Anna Neri;In Corso;30;
172;Preparazione Documentazione Tecnica API;Redazione documentazione tecnica per API;Bassa;20/07/2025;05/08/2025;05/08/2025;20/07/2025;;60;10;Sviluppo Backend;Milestone Beta;Paolo Gialli;In Corso;15;
173;Test di Carico Database;Esecuzione test di carico sul database;Alta;22/07/2025;26/07/2025;26/07/2025;26/07/2025;22/07/2025;48;20;DevOps;Milestone Alpha;Sara Bruno;In Corso;40;
174;Ottimizzazione Query Backend;Miglioramento performance query backend;Alta;24/07/2025;08/08/2025;08/08/2025;08/08/2025;24/07/2025;72;10;Sviluppo Backend;Milestone Beta;Luca Esposito;In Corso;15;
175;Sviluppo Modulo Gestione Ruoli;Implementazione gestione ruoli utente;Media;25/07/2025;10/08/2025;10/08/2025;25/07/2025;;100;0;Sviluppo Backend;Milestone Beta;Elena Romano;Non Iniziato;0;
176;Revisione Design Mobile;Feedback e iterazioni sul design mobile;Media;26/07/2025;30/07/2025;30/07/2025;;;24;0;Design UI/UX;Milestone Iniziale;Marco Conti;Non Iniziato;0;
177;Ricerca Soluzioni Cloud;Valutazione di piattaforme cloud;Bassa;27/07/2025;03/08/2025;03/08/2025;;;32;0;DevOps;Milestone Beta;Giulia Ferrari;Non Iniziato;0;
178;Preparazione Materiale Presentazione Prodotto;Sviluppo materiale per presentazione prodotto;Alta;28/07/2025;02/08/2025;02/08/2025;;;40;0;Business Analysis;Milestone Rilascio;Mario Rossi;Non Iniziato;0;
179;Sviluppo Funzionalit� Integrazione Pagamenti;Implementazione integrazione con sistemi di pagamento;Media;29/07/2025;14/08/2025;14/08/2025;;;120;0;Sviluppo Backend;Milestone Beta;Laura Bianchi;Non Iniziato;0;
180;Test di Sicurezza Rete;Esecuzione test di sicurezza sulla rete;Alta;30/07/2025;05/08/2025;05/08/2025;;;64;0;Quality Assurance;Milestone Rilascio;Giuseppe Verdi;Non Iniziato;0;
181;Formazione Team Marketing;Sessioni di formazione per il team marketing;Bassa;01/08/2025;07/08/2025;07/08/2025;;;40;0;Business Analysis;Milestone Rilascio;Anna Neri;Non Iniziato;0;
182;Sviluppo Modulo Gestione Notifiche;Implementazione sistema di notifica;Alta;01/06/2025;10/06/2025;10/06/2025;10/06/2025;10/06/2025;80;80;Sviluppo Backend;Milestone Iniziale;Paolo Gialli;Completato;100;
183;Design Prototipo Interattivo;Creazione prototipo interattivo per UI;Media;05/06/2025;15/06/2025;15/06/2025;05/06/2025;14/06/2025;60;60;Design UI/UX;Milestone Iniziale;Sara Bruno;Completato;100;
184;Setup Ambiente di Staging;Configurazione ambienti di staging;Bassa;08/06/2025;12/06/2025;12/06/2025;08/06/2025;11/06/2025;24;24;DevOps;Milestone Iniziale;Luca Esposito;Completato;100;
185;Test di Accettazione Utente (UAT) - Fase 3;Esecuzione UAT finale con utenti;Alta;15/06/2025;25/06/2025;25/06/2025;15/06/2025;28/06/2025;72;75;Quality Assurance;Milestone Iniziale;Elena Romano;In Ritardo;100;Problemi di performance riscontrati
186;Sviluppo Funzionalit� Ricerca Avanzata;Implementazione motore di ricerca avanzato;Alta;20/06/2025;05/07/2025;05/07/2025;20/06/2025;07/07/2025;160;165;Sviluppo Frontend;Milestone Alpha;Marco Conti;In Ritardo;100;Integrazione con sistema di terze parti
187;Refactoring Modulo Notifiche;Miglioramento architettura modulo notifiche;Media;01/07/2025;10/07/2025;10/07/2025;10/07/2025;09/07/2025;80;80;Sviluppo Backend;Milestone Alpha;Giulia Ferrari;Completato;100;
188;Preparazione Ambiente di Produzione;Configurazione server per produzione;Alta;05/07/2025;10/07/2025;10/07/2025;05/07/2025;09/07/2025;40;40;DevOps;Milestone Rilascio;Mario Rossi;Completato;100;
189;Test di Sicurezza Applicazione;Scansione vulnerabilit� applicazione;Alta;08/07/2025;12/07/2025;12/07/2025;12/07/2025;11/07/2025;32;32;Quality Assurance;Milestone Alpha;Laura Bianchi;Completato;100;
190;Sviluppo Funzionalit� Dashboard Personalizzabile;Implementazione dashboard personalizzabile;Alta;10/07/2025;25/07/2025;25/07/2025;25/07/2025;10/07/2025;160;100;Sviluppo Frontend;Milestone Alpha;Giuseppe Verdi;In Corso;60;
191;Analisi Requisiti Integrazione Dati;Raccolta e analisi requisiti per integrazione dati;Media;15/07/2025;22/07/2025;22/07/2025;22/07/2025;15/07/2025;40;20;Business Analysis;Milestone Beta;Anna Neri;In Corso;50;
192;Sviluppo Interfaccia Utente Mobile;Creazione UI per app mobile;Media;18/07/2025;01/08/2025;01/08/2025;01/08/2025;18/07/2025;80;30;Sviluppo Frontend;Milestone Beta;Paolo Gialli;In Corso;30;
193;Preparazione Documentazione Tecnica API;Redazione documentazione tecnica per API;Bassa;20/07/2025;05/08/2025;05/08/2025;20/07/2025;;60;10;Sviluppo Backend;Milestone Beta;Sara Bruno;In Corso;15;
194;Test di Carico Database;Esecuzione test di carico sul database;Alta;22/07/2025;26/07/2025;26/07/2025;26/07/2025;22/07/2025;48;20;DevOps;Milestone Alpha;Luca Esposito;In Corso;40;
195;Ottimizzazione Query Backend;Miglioramento performance query backend;Alta;24/07/2025;08/08/2025;08/08/2025;08/08/2025;24/07/2025;72;10;Sviluppo Backend;Milestone Beta;Elena Romano;In Corso;15;
196;Sviluppo Modulo Gestione Ruoli;Implementazione gestione ruoli utente;Media;25/07/2025;10/08/2025;10/08/2025;25/07/2025;;100;0;Sviluppo Backend;Milestone Beta;Marco Conti;Non Iniziato;0;
197;Revisione Design Mobile;Feedback e iterazioni sul design mobile;Media;26/07/2025;30/07/2025;30/07/2025;;;24;0;Design UI/UX;Milestone Iniziale;Giulia Ferrari;Non Iniziato;0;
198;Ricerca Soluzioni Cloud;Valutazione di piattaforme cloud;Bassa;27/07/2025;03/08/2025;03/08/2025;;;32;0;DevOps;Milestone Beta;Mario Rossi;Non Iniziato;0;
199;Preparazione Materiale Presentazione Prodotto;Sviluppo materiale per presentazione prodotto;Alta;28/07/2025;02/08/2025;02/08/2025;;;40;0;Business Analysis;Milestone Rilascio;Laura Bianchi;Non Iniziato;0;
200;Sviluppo Funzionalit� Integrazione Pagamenti;Implementazione integrazione con sistemi di pagamento;Media;29/07/2025;14/08/2025;14/08/2025;;;120;0;Sviluppo Backend;Milestone Beta;Giuseppe Verdi;Non Iniziato;0;
